split,id,sentence,tagged_sentence,ner_labels,has_entity
train,0,"Maafisa wa serikali ya Yemen wamesema kuwa tangu Alhamisi , Wahuthi walifanya mashambulizi ya nguvu kutoka upande wa kaskazini , kusini na magharibi , lakini hawakufanikiwa kuingia katika ngome za ulinzi za serikali ambazo ziliimarishwa na mashambulizi ya angani yaliofanywa na ushirika wa kijeshi unaongozwa na Saudi Arabia .","Maafisa wa serikali ya Yemen/B-LOC wamesema kuwa tangu Alhamisi/B-DATE , Wahuthi walifanya mashambulizi ya nguvu kutoka upande wa kaskazini , kusini na magharibi , lakini hawakufanikiwa kuingia katika ngome za ulinzi za serikali ambazo ziliimarishwa na mashambulizi ya angani yaliofanywa na ushirika wa kijeshi unaongozwa na Saudi/B-LOC Arabia/I-LOC .",O O O O B-LOC O O O B-DATE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC I-LOC O,True
train,1,"Kudhibiti jimbo lenye utajiri wa mafuta la Marib kutawapa nguvu Wahuthi kuweza kuwa na nafasi ya kufanya mazungumzo ya amani , lakini vita vimeongeza hofu ya kuongezeka kwa janga la kibinadamu , wakati wananchi wengi wa Yemen wakikimbia kutoka jimbo hilo wakiepuka mapigano katika maeneo mengine na nchi hiyo .","Kudhibiti jimbo lenye utajiri wa mafuta la Marib/B-LOC kutawapa nguvu Wahuthi kuweza kuwa na nafasi ya kufanya mazungumzo ya amani , lakini vita vimeongeza hofu ya kuongezeka kwa janga la kibinadamu , wakati wananchi wengi wa Yemen/B-LOC wakikimbia kutoka jimbo hilo wakiepuka mapigano katika maeneo mengine na nchi hiyo .",O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O,True
train,2,"Vita vya Yemen vimeanza mwaka 2014 wakati Wahuthi walipouteka mji mkuu Sanaa , na kuibua Muungano wa kijeshi unaongozwa na Saudi Arabia kuingilia kati kuisaidia serikali mwaka uliofuatia .","Vita vya Yemen/B-LOC vimeanza mwaka 2014/B-DATE wakati Wahuthi walipouteka mji mkuu Sanaa/B-LOC , na kuibua Muungano wa kijeshi unaongozwa na Saudi/B-LOC Arabia/I-LOC kuingilia kati kuisaidia serikali mwaka uliofuatia .",O O B-LOC O O B-DATE O O O O O B-LOC O O O O O O O O B-LOC I-LOC O O O O O O O,True
train,3,"Wakati Umoja wa Mataifa na Washington zikishinikiza kumalizika kwa vita hivyo , Wahuthi wanadai kufunguliwa uwanja wa ndege wa Sanaa , uliofungwa chini ya kizuizi cha Saudi Arabia tangu mwaka 2016 , kabla ya kusitishwa mapigano yoyote au mazungumzo .","Wakati Umoja/B-ORG wa/I-ORG Mataifa/I-ORG na Washington/B-LOC zikishinikiza kumalizika kwa vita hivyo , Wahuthi wanadai kufunguliwa uwanja wa ndege wa Sanaa/B-LOC , uliofungwa chini ya kizuizi cha Saudi/B-LOC Arabia/I-LOC tangu mwaka 2016/B-DATE , kabla ya kusitishwa mapigano yoyote au mazungumzo .",O B-ORG I-ORG I-ORG O B-LOC O O O O O O O O O O O O O B-LOC O O O O O O B-LOC I-LOC O O B-DATE O O O O O O O O O,True
train,4,"Pamoja na mapigano ya umwagaji damu huko Marib , Wahuthi pia wameanza kutumia ndege zisizokuwa na rubani aina ya droni kushambulia na makombora katika maeneo ya Saudi Arabia , ikiwemo viwanda vya mafuta .","Pamoja na mapigano ya umwagaji damu huko Marib/B-LOC , Wahuthi pia wameanza kutumia ndege zisizokuwa na rubani aina ya droni kushambulia na makombora katika maeneo ya Saudi/B-LOC Arabia/I-LOC , ikiwemo viwanda vya mafuta .",O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O B-LOC I-LOC O O O O O O,True
train,5,"Mwezi huu mjumbe maalum wa Umoja wa Mataifa kwa ajili ya Yemen anayemaliza muda wake Martin Griffiths ameliambia Baraza la Usalama kuwa juhudi zake binafsi katika kipindi cha miaka mitatu kumaliza vita """""""" hazikufanikiwa . """"""""","Mwezi huu mjumbe maalum wa Umoja/B-ORG wa/I-ORG Mataifa/I-ORG kwa ajili ya Yemen/B-LOC anayemaliza muda wake Martin/B-PER Griffiths/I-PER ameliambia Baraza la Usalama kuwa juhudi zake binafsi katika kipindi cha miaka mitatu kumaliza vita """""""" hazikufanikiwa . """"""""",O O O O O B-ORG I-ORG I-ORG O O O B-LOC O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O,True
train,6,Vita hivyo vimeua maelfu ya watu na kuwafanya asilimia 80 ya wananchi wa Yemen kutegemea misaada katika kile UN imekiita ni mgogoro mkubwa kuliko yote wa kibinadamu .,Vita hivyo vimeua maelfu ya watu na kuwafanya asilimia 80 ya wananchi wa Yemen/B-LOC kutegemea misaada katika kile UN/B-ORG imekiita ni mgogoro mkubwa kuliko yote wa kibinadamu .,O O O O O O O O O O O O O B-LOC O O O O B-ORG O O O O O O O O O,True
train,7,Chanzo cha HabariFacebook imesema kwamba akaunti hizo zina lengo la kueneza habari za uongo wakati nchi hiyo inajitayarisha kwa uchaguzi mkuu alhamisi wiki hii .,Chanzo cha HabariFacebook imesema kwamba akaunti hizo zina lengo la kueneza habari za uongo wakati nchi hiyo inajitayarisha kwa uchaguzi mkuu alhamisi/B-DATE wiki/I-DATE hii/I-DATE .,O O O O O O O O O O O O O O O O O O O O O B-DATE I-DATE I-DATE O,True
train,8,"Katika taarifa kwa vyombo vya habari , mkuu wa mawasiliano wa kampuni ya facebook katika kanda ya Sahara Kezia Anim , amesema kwamba akaunti hizo za facebook zilikuwa zinaeneza habari zisizo za kweli ili kubadili mawazo ya wapiga kura .","Katika taarifa kwa vyombo vya habari , mkuu wa mawasiliano wa kampuni ya facebook/B-ORG katika kanda ya Sahara/B-LOC Kezia/B-PER Anim/I-PER , amesema kwamba akaunti hizo za facebook/B-ORG zilikuwa zinaeneza habari zisizo za kweli ili kubadili mawazo ya wapiga kura .",O O O O O O O O O O O O O B-ORG O O O B-LOC B-PER I-PER O O O O O O B-ORG O O O O O O O O O O O O O,True
train,9,"Amesema kwamba akaunti zilizofungwa zilikuwa feki , na zilikuwa zinaeneza habari za uongo hasa za kushambulia wagombea wa upinzani .","Amesema kwamba akaunti zilizofungwa zilikuwa feki , na zilikuwa zinaeneza habari za uongo hasa za kushambulia wagombea wa upinzani .",O O O O O O O O O O O O O O O O O O O O,False
