incident_category,english_source,draft_code_switched,switch_type,confidence_note,reviewer_verdict(approve/edit/reject),reviewer_corrected_version
Aircraft Equipment Problem,The fuel pump was leaking during the pre-flight inspection.,"Wakati wa pre-flight inspection, fuel pump ilikuwa inavuja.",intra-sentential,"standard vocab, low risk",approve,
Communication Breakdown,The outgoing technician did not mention the deferred item in the logbook. This caused confusion for the next shift.,Fundi wa zamu iliyopita hakutaja ile deferred item kwenye logbook. This caused a lot of confusion for the next shift.,inter-sentential,"standard vocab, low risk",approve,
Deviation/Discrepancy - Procedural,"We skipped the torque check because we were running late, you know?","Tulikosa kufanya torque check kwa sababu tulikuwa tumechelewa, unajua?",tag-switching,"standard vocab, low risk",approve,
Ground Event/Encounter,There was a small object on the runway near the aircraft.,Kulikuwa na kitu kidogo kwenye runway karibu na aircraft.,intra-sentential,"standard vocab, low risk",approve,
Human Factors - Fatigue,I was very tired by the end of the shift. I might have missed something on the checklist.,Nilikuwa nimechoka sana mwishoni mwa zamu. Huenda nilikosa kitu kwenye checklist.,inter-sentential,"standard vocab, low risk",approve,
Deviation/Discrepancy - Procedural,"Please double check the hydraulic system before you sign off, okay?","Tafadhali angalia tena hydraulic system kabla ya ku-sign off, sawa?",tag-switching,"standard vocab, low risk",approve,
Aircraft Equipment Problem,The inspector found a crack near the landing gear.,Inspector alipata crack karibu na landing gear.,intra-sentential,"standard vocab, low risk",approve,
Deviation/Discrepancy - Procedural,The part was not available in stores. We had to wait until morning.,Ile part haikuwepo kwenye stores. Tulilazimika kusubiri mpaka asubuhi.,inter-sentential,"standard vocab, low risk",edit,Ile part haikuwepo kwenye ghala. Tulilazimika kusubiri mpaka asubuhi.
Deviation/Discrepancy - Procedural,"The MEL item is still open, right?","Ile MEL item bado iko open, sio?",tag-switching,"standard vocab, low risk",approve,
Communication Breakdown,He forgot to update the work card after the repair.,Alisahau ku-update ile work card baada ya repair.,intra-sentential,"standard vocab, low risk",approve,
Ground Excursion/Incursion,The tug driver did not see the wingtip clearance marker.,Dereva wa tug hakuona ile wingtip clearance marker.,intra-sentential,"standard vocab, low risk",approve,
Human Factors - Communication Breakdown,"I told him twice about the open panel, but he said he never heard me.","Nilimwambia mara mbili kuhusu ile open panel, lakini akasema hakuwahi kunisikia.",intra-sentential,MODERATE - verify natural phrasing of 'akasema hakuwahi kunisikia',approve,
Aircraft Equipment Problem,The APU would not start on the second attempt.,APU haikuweza ku-start kwenye jaribio la pili.,intra-sentential,"standard vocab, low risk",approve,
Deviation/Discrepancy - Procedural,"Sign the handover sheet before you leave, please.","Tia sahihi kwenye handover sheet kabla hujaondoka, tafadhali.",intra-sentential,"standard vocab, low risk",approve,
Human Factors - Fatigue,"It was a long night. Honestly, I just wanted to finish and go home.","Ilikuwa usiku mrefu. Kwa uaminifu, nilitaka tu ku-maliza na kuenda nyumbani.",inter-sentential,"MODERATE - 'kwa uaminifu' for 'honestly' feels slightly formal, verify natural equivalent",edit,"Ilikuwa usiku mrefu. Kwa kweli,nilitaka tu kumaliza na kuenda nyumbani."
Ground Event/Encounter,Someone left a tool near the engine cowling. That's a serious safety issue.,Mtu aliacha tool karibu na engine cowling. Hiyo ni safety issue kubwa.,intra-sentential,"standard vocab, low risk",approve,
Deviation/Discrepancy - Procedural,"Did you close out the work order, or is it still pending?","Ulifunga ile work order, ama bado iko pending?",intra-sentential,"standard vocab, low risk",approve,
Aircraft Equipment Problem,"The tire pressure was below limits, so we replaced it before dispatch.","Tire pressure ilikuwa chini ya limit, kwa hivyo tulibadilisha kabla ya dispatch.",intra-sentential,"standard vocab, low risk",approve,
Human Factors - Communication Breakdown,"Next time, write it down. Don't just tell the next shift verbally, eh?","Wakati mwingine, iandike. Usimwambie tu zamu inayofuata kwa mdomo, eh?",tag-switching,MODERATE - verify 'eh' tag placement sounds natural here vs 'sio' or 'unajua',approve,
Deviation/Discrepancy - Procedural,We need to update the maintenance log before the aircraft goes back into service.,Tunahitaji ku-update maintenance log kabla ndege haijarudi kwenye service.,intra-sentential,"standard vocab, low risk",approve,
